"Squad","Player","Pos","Age","MP","Min","Mn/MP","Min%","90s","Starts","Starts-Mn/Start","Starts-Compl","Subs-Subs","Subs-Mn/Sub","Subs-unSub","TeamSuccess-PPM","TeamSuccess-onG","TeamSuccess-onGA","TeamSuccess-PlusMinus","TeamSuccess-PlusMinus/90","TeamSuccess-OnOff","TeamSuccess(xG)-onxG","TeamSuccess(xG)-onxGA","TeamSuccess(xG)-xGPlusMinus","TeamSuccess(xG)-PlusMinus/90","TeamSuccess(xG)-OnOff"
"Morocco","Munir","GK",33,1,90,90,13.6,1,1,90,1,0,,6,3,2,0,2,0,0.16,1.5,1,0.5,0.52,0.74
"Morocco","Bilal El Khannous","MF",18,1,55,55,8.3,0.6,1,55,0,0,,6,0,1,2,-1,-1.64,-1.93,0.8,0.4,0.4,0.68,0.86
"Morocco","Abdessamad Ezzalzouli","FW,MF",20,3,93,31,14.1,1,0,,0,3,31,4,0.67,0,1,-1,-0.97,-1.29,1.1,1.4,-0.3,-0.48,-0.41
"Morocco","Zakaria Aboukhlal","FW,MF",22,4,79,20,12,0.9,0,,0,4,20,3,2.25,2,1,1,0.14,0.14,2.4,2,0.4,0.5,0.69
"Morocco","Abderrazak Hamdallah","FW",31,4,68,17,10.3,0.8,0,,0,4,17,3,1.75,2,1,1,0.32,0.32,1.9,1,0.9,0.16,0.42
"Morocco","Walid Cheddira","FW",24,2,64,32,9.7,0.7,0,,0,2,32,4,2,0,0,0,0,-0.15,0.5,0.9,-0.4,-1.12,-1.06
"Morocco","Badr Banoun","DF",28,3,54,18,8.2,0.6,0,,0,3,18,4,1.33,0,0,0,0,-0.15,1,1,0,0,0.12
"Morocco","Ilias Chair","MF",24,1,45,45,6.8,0.5,0,,0,1,45,6,0,0,0,0,0,-0.15,0.4,0.3,0.1,0.16,0.29
"Morocco","Anass Zaroury","FW",21,1,27,27,4.1,0.3,0,,0,1,27,6,0,0,0,0,0,-0.14,0.4,0.3,0.1,0.4,0.53
"Morocco","Yahya Jabrane","MF",30,2,15,8,2.3,0.2,0,,0,2,8,5,3,0,0,0,0,-0.14,,,,,
"Morocco","Ahmed Reda Tagnaouti","GK",26,0,,,,,0,,0,0,,7,,,,,,,,,,,
"France","Aurelien Tchouameni","MF",22,7,621,89,94.1,6.9,7,89,5,0,,0,2.29,14,7,7,0.01,-1.29,13.2,8.9,0.2,0.65,0.16
"France","Kylian Mbappe","FW",23,7,598,85,90.6,6.6,6,95,6,1,28,0,2.29,16,7,9,0.35,0.81,13.6,9.4,0.2,0.66,0.95
"France","Hugo Lloris","GK",35,6,570,95,86.4,6.3,6,95,6,0,,1,2.67,16,7,9,0.42,0.42,13,9.4,0.6,0.59,0.37
"France","Antoine Griezmann","MF",31,7,537,77,81.4,6,6,87,4,1,18,0,2.29,13,6,7,0.17,0.44,11.5,7.8,0.7,0.61,0.47
"France","Raphael Varane","DF",29,6,518,86,78.5,5.8,6,86,3,0,,1,2.17,10,7,3,0.52,-2.65,7.1,9,-2,-0.34,-4.04
