"Squad","Player","Pos","Age","Club","MP","Starts","Min","90s","Gls","Ast","G+A","G-PK","PK","PKatt","CrdY","CrdR","xG","npxG","xAG","npxG+xAG","PrgC","PrgP","PrgR","Gls/90","Ast/90","G+A/90","G-PK/90","G+A-PK/90","xG/90","xAG/90","xG+xAG/90","npxG/90","npxG+xAG/90"
"France","Matteo Guendouzi","FW,MF",23,"Marseille",1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
"France","Jordan Veretout","MF",29,"Marseille",1,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"France","Lucas Hernandez","DF",26,"Bayern Munich",1,1,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"France","Marcus Thuram","FW,MF",24,"M'Gladbach",5,0,151,1.7,0,2,2,0,0,0,1,0,0.2,0.2,0.3,0.5,8,6,9,0,1.19,1.19,0,1.19,0.16,0.19,0.35,0.16,0.35
"France","William Saliba","DF",21,"Arsenal",1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.11,0.11,0,0.11
"France","Alphonse Areola","GK",29,"West Ham",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Croatia","Josko Gvardiol","DF",20,"RB Leipzig",7,7,690,7.7,1,0,1,1,0,0,0,0,0.1,0.1,0,0.2,11,32,4,0.13,0,0.13,0.13,0.13,0.02,0.01,0.03,0.02,0.03
"Croatia","Dominik Livakovic","GK",27,"Dinamo Zagreb",7,7,690,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia","Ivan Perisic","FW,DF",33,"Tottenham",7,7,669,7.4,1,3,4,1,0,0,0,0,0.9,0.9,0.9,1.8,27,21,63,0.13,0.4,0.54,0.13,0.54,0.13,0.12,0.25,0.13,0.25
"Croatia","Luka Modric","MF",36,"Real Madrid",7,7,653,7.3,0,0,0,0,0,0,1,0,0.4,0.4,0.7,1.1,21,82,21,0,0,0,0,0,0.06,0.11,0.16,0.06,0.16
"Croatia","Mateo Kovacic","MF",28,"Chelsea",7,7,635,7.1,0,0,0,0,0,0,2,0,0.3,0.3,1,1.3,24,52,23,0,0,0,0,0,0.05,0.14,0.18,0.05,0.18
"Croatia","Andrej Kramaric","FW,MF",30,"Hoffenheim",7,7,474,5.3,2,0,2,2,0,0,0,0,1.6,1.6,0.2,1.9,10,7,44,0.38,0,0.38,0.38,0.38,0.31,0.04,0.36,0.31,0.36
"Croatia","Josip Juranovic","DF",26,"Celtic",6,6,600,6.7,0,1,1,0,0,0,0,0,0,0,0.3,0.4,15,34,38,0,0.15,0.15,0,0.15,0.01,0.05,0.06,0.01,0.06
"Croatia","Dejan Lovren","DF",32,"Zenit",6,6,600,6.7,0,1,1,0,0,0,1,0,0.3,0.3,0,0.3,3,23,1,0,0.15,0.15,0,0.15,0.04,0.01,0.05,0.04,0.05
"Croatia","Marcelo Brozovic","MF",29,"Inter",6,6,552,6.1,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,11,42,18,0,0,0,0,0,0.09,0.03,0.12,0.09,0.12
"Croatia","Borna Sosa","DF",24,"Stuttgart",5,5,424,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,18,17,29,0,0,0,0,0,0.01,0.08,0.09,0.01,0.09
"Croatia","Marko Livaja","FW",28,"Hajduk Split",6,3,241,2.7,1,1,2,1,0,0,0,0,0.8,0.8,0.1,0.9,1,8,21,0.37,0.37,0.75,0.37,0.75,0.31,0.03,0.34,0.31,0.34
"Croatia","Mario Pasalic","FW,MF",27,"Atalanta",7,2,271,3,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,4,6,14,0,0,0,0,0,0.1,0.07,0.17,0.1,0.17
"Croatia","Bruno Petkovic","FW",27,"Dinamo Zagreb",6,1,234,2.6,1,0,1,1,0,0,1,0,0.1,0.1,0.3,0.5,6,4,10,0.38,0,0.38,0.38,0.38,0.05,0.15,0.2,0.05,0.2
"Croatia","Nikola Vlasic","FW,MF",24,"Torino",6,1,209,2.3,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,4,4,18,0,0,0,0,0,0.25,0,0.25,0.25,0.25
"Croatia","Mislav Orsic","FW",29,"Dinamo Zagreb",6,1,162,1.8,1,2,3,1,0,0,0,0,0.4,0.4,1.1,1.4,10,5,15,0.56,1.11,1.67,0.56,1.67,0.23,0.68,0.9,0.23,0.9
"Croatia","Lovro Majer","MF,FW",24,"Rennes",7,1,130,1.4,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,5,5,16,0.69,0,0.69,0.69,0.69,0.67,0.07,0.74,0.67,0.74
"Croatia","Borna Barisic","DF",29,"Rangers",1,1,120,1.3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,2,3,2,0,0,0,0,0,0.02,0.12,0.14,0.02,0.14
"Croatia","Josip Stanisic","DF",22,"Bayern Munich",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0.02,0,0.02,0.02,0.02
"Croatia","Josip Sutalo","DF",22,"Dinamo Zagreb",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Croatia","Ante Budimir","FW",30,"Osasuna",2,0,55,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,2,0,0,0,0,0,0.37,0.07,0.44,0.37,0.44
"Croatia","Kristijan Jakic","FW",25,"Eint Frankfurt",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia","Martin Erlic","DF",24,"Sassuolo",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Croatia","Ivo Grbic","GK",26,"Atletico Madrid",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Croatia","Ivica Ivusic","GK",27,"Osijek",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Croatia","Luka Sucic","MF",19,"RB Salzburg",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Croatia","Domagoj Vida","DF,MF",33,"AEK Athens",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Argentina","Emiliano Martinez","GK",29,"Aston Villa",7,7,690,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Lionel Messi","FW",34,"Paris S-G",7,7,690,7.7,7,3,10,3,4,5,1,0,6.6,2.7,2.5,5.2,29,66,37,0.91,0.39,1.3,0.39,0.78,0.94,0.35,1.3,0.38,0.74
"Argentina","Nicolas Otamendi","DF",34,"Benfica",7,7,690,7.7,0,1,1,0,0,0,2,0,0,0,0.2,0.2,7,34,2,0,0.13,0.13,0,0.13,0,0.02,0.03,0,0.03
"Argentina","Rodrigo De Paul","MF",28,"Atletico Madrid",7,7,599,6.7,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,16,37,20,0,0,0,0,0,0.14,0.05,0.19,0.14,0.19
"Argentina","Nahuel Molina","DF",24,"Atletico Madrid",7,6,567,6.3,1,1,2,1,0,0,0,0,0.5,0.5,0.3,0.8,10,15,32,0.16,0.16,0.32,0.16,0.32,0.07,0.05,0.12,0.07,0.12
"Argentina","Alexis Mac Allister","MF",23,"Brighton",6,6,550,6.1,1,1,2,1,0,0,0,0,0.7,0.7,0.9,1.6,19,24,27,0.16,0.16,0.33,0.16,0.33,0.12,0.15,0.27,0.12,0.27
"Argentina","Cristian Romero","DF",24,"Tottenham",7,6,547,6.1,0,0,0,0,0,0,2,0,0,0,0,0,4,15,1,0,0,0,0,0,0,0,0,0,0
"Argentina","Enzo Fernandez","MF",21,"Benfica",7,5,564,6.3,1,1,2,1,0,0,1,0,0.3,0.3,0.9,1.2,16,34,6,0.16,0.16,0.32,0.16,0.32,0.05,0.16,0.21,0.05,0.21
"Argentina","Julian Alvarez","FW",22,"Manchester City",7,5,464,5.2,4,0,4,4,0,0,0,0,2.6,2.6,0.1,2.7,13,5,22,0.78,0,0.78,0.78,0.78,0.51,0.02,0.53,0.51,0.53
"Argentina","Marcos Acuna","DF,FW",30,"Sevilla",6,4,373,4.1,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,5,13,26,0,0,0,0,0,0.02,0.07,0.1,0.02,0.1
"Argentina","Angel Di Maria","MF,FW",34,"Juventus",5,4,288,3.2,1,1,2,1,0,0,0,0,0.6,0.6,0.6,1.3,23,20,60,0.31,0.31,0.62,0.31,0.62,0.21,0.2,0.41,0.21,0.41
"Argentina","Nicolas Tagliafico","DF",29,"Lyon",6,3,373,4.1,0,0,0,0,0,0,0,0,1,1,0.2,1.2,6,8,20,0,0,0,0,0,0.26,0.05,0.31,0.26,0.31
"Argentina","Lisandro Martinez","DF",24,"Manchester Utd",5,2,303,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,3,6,2,0,0,0,0,0,0.04,0.21,0.25,0.04,0.25
"Argentina","Lautaro Martinez","FW",24,"Inter",6,2,241,2.7,0,0,0,0,0,0,0,0,1.9,1.9,0,1.9,1,0,21,0,0,0,0,0,0.87,0.02,0.89,0.87,0.89
"Argentina","Leandro Paredes","MF",27,"Juventus",5,2,225,2.5,0,0,0,0,0,0,2,0,0,0,0,0.1,3,14,1,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
"Argentina","Papu Gomez","MF,FW",34,"Sevilla",2,2,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,0,0,0,0,0,0.03,0,0.03,0.03,0.03
"Argentina","Gonzalo Montiel","DF,MF",25,"Sevilla",4,1,118,1.3,0,0,0,0,0,0,3,0,0,0,0.3,0.3,4,4,11,0,0,0,0,0,0.02,0.4,0.43,0.02,0.43
"Argentina","Guido Rodriguez","MF",28,"Betis",1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Argentina","German Pezzella","DF",30,"Betis",3,0,60,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,2,0,0,0,0,0,0,0.24,0,0.24,0.24,0.24
"Argentina","Exequiel Palacios","MF,DF",23,"Leverkusen",3,0,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,3,2,0,0,0,0,0,0.12,0.12,0.24,0.12,0.24
"Argentina","Paulo Dybala","FW",28,"Roma",2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,2,4,0,0,0,0,0,0,1.03,1.03,0,1.03
"Argentina","Thiago Almada","MF",21,"Atlanta Utd",1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,2,1,0,0,0,0,0,0,3.16,3.16,0,3.16
"Argentina","Angel Correa","MF",27,"Atletico Madrid",1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Juan Foyth","DF",24,"Villarreal",1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Argentina","Franco Armani","GK",35,"River Plate",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Argentina","Geronimo Rulli","GK",30,"Villarreal",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
