"Squad","Player","Pos","Age","90s","Touches","Touches-Def Pen","Touches-Def 3rd","Touches-Mid 3rd","Touches-Att 3rd","Touches-Att Pen","Touches-Live","Take-Ons-Att","Take-Ons-Succ","Take-Ons-Succ%","Take-Ons-Tkld","Take-Ons-Tkld%","Carries","Carries-TotDist","Carries-PrgDist","Carries-PrgC","Carries-1/3","Carries-CPA","Carries-Mis","Carries-Dis","Receiving-Rec","Receiving-PrgR"
"Argentina","Alexis Mac Allister","MF",23,6.1,332,1,36,167,134,11,332,9,4,44.4,2,22.2,234,1163,605,19,13,0,7,8,248,27
"Argentina","Cristian Romero","DF",24,6.1,425,44,201,214,12,2,425,1,1,100,0,0,296,1322,751,4,2,0,5,1,293,1
"Argentina","Enzo Fernandez","MF",21,6.3,535,16,104,354,80,5,535,6,3,50,2,33.3,392,1863,818,16,10,1,9,7,418,6
"Argentina","Julian Alvarez","FW",22,5.2,176,1,20,64,94,21,176,4,0,0,3,75,107,497,259,13,5,8,11,7,120,22
"Argentina","Marcos Acuna","DF,FW",30,4.1,271,5,71,102,101,10,271,8,2,25,4,50,159,694,308,5,6,1,7,4,163,26
"Argentina","Angel Di Maria","MF,FW",34,3.2,203,1,13,58,135,18,203,28,13,46.4,8,28.6,157,1140,609,23,8,10,9,6,165,60
"Argentina","Nicolas Tagliafico","DF",29,4.1,220,12,53,110,60,8,220,2,0,0,2,100,113,466,185,6,0,2,1,1,124,20
"Argentina","Lisandro Martinez","DF",24,3.4,188,17,83,95,12,1,188,1,0,0,1,100,120,484,271,3,4,0,1,0,124,2
"Argentina","Lautaro Martinez","FW",24,2.7,99,1,7,44,48,18,99,5,2,40,3,60,67,360,100,1,3,2,9,6,74,21
"Argentina","Leandro Paredes","MF",27,2.5,270,6,49,199,23,0,270,1,0,0,1,100,186,777,399,3,0,0,1,0,204,1
"Argentina","Papu Gomez","MF,FW",34,1.2,69,0,8,39,23,1,69,2,1,50,0,0,52,334,117,2,2,0,1,1,58,9
"Argentina","Gonzalo Montiel","DF,MF",25,1.3,95,2,23,49,25,1,95,1,0,0,1,100,63,255,181,4,1,0,3,2,68,11
"Argentina","Guido Rodriguez","MF",28,0.6,68,1,22,45,1,0,68,0,0,,0,,48,198,101,0,0,0,0,0,54,0
"Argentina","German Pezzella","DF",30,0.7,47,0,10,36,1,1,47,0,0,,0,,38,110,45,0,0,0,0,0,41,0
"Argentina","Exequiel Palacios","MF,DF",23,0.6,34,1,5,19,10,1,34,1,0,0,1,100,20,64,19,1,1,0,0,2,22,2
"Argentina","Paulo Dybala","FW",28,0.2,20,1,1,12,7,1,20,2,1,50,1,50,9,21,3,0,0,0,0,1,13,4
"Argentina","Thiago Almada","MF",21,0.1,15,0,0,8,7,0,15,0,0,,0,,15,57,13,1,1,0,2,0,15,1
"Argentina","Angel Correa","MF",27,0.1,6,1,3,1,2,0,6,0,0,,0,,3,16,8,0,0,0,1,0,4,0
"Argentina","Juan Foyth","DF",24,0.1,5,0,1,3,1,0,5,1,1,100,0,0,2,29,16,1,0,0,1,0,2,1
