"Squad","Player","Pos","Age","90s","Perf_CrdY","Perf_CrdR","Perf_2CrdY","Perf_Fls","Perf_Fld","Perf_Off","Perf_Crs","Perf_Int","Perf_TklW","Perf_PKwon","Perf_PKcon","Perf_OG","Perf_Recov","AerialDuels_Won","AerialDuels_Lost","AerialDuels_Won%"
"Argentina","Rodrigo De Paul","MF",28,6.7,0,0,0,7,15,0,12,7,6,0,0,0,42,2,3,40
"Argentina","Nahuel Molina","DF",24,6.3,0,0,0,3,0,1,6,3,4,0,0,0,23,0,6,0
"Argentina","Alexis Mac Allister","MF",23,6.1,0,0,0,1,13,0,1,3,4,0,0,0,40,5,13,27.8
"Argentina","Cristian Romero","DF",24,6.1,2,0,0,12,3,0,0,4,3,0,0,0,35,12,8,60
"Argentina","Enzo Fernandez","MF",21,6.3,1,0,0,7,6,0,2,3,15,0,0,1,39,9,3,75
"Argentina","Julian Alvarez","FW",22,5.2,0,0,0,13,2,5,3,0,2,1,0,0,21,2,9,18.2
"Argentina","Marcos Acuna","DF,FW",30,4.1,3,0,0,9,9,0,17,2,8,1,0,0,16,5,7,41.7
"Argentina","Angel Di Maria","MF,FW",34,3.2,0,0,0,0,7,5,27,1,1,1,0,0,7,0,1,0
"Argentina","Nicolas Tagliafico","DF",29,4.1,0,0,0,6,6,1,1,9,7,0,0,0,12,4,1,80
"Argentina","Lisandro Martinez","DF",24,3.4,1,0,0,2,3,0,1,3,2,0,0,0,6,3,3,50
"Argentina","Lautaro Martinez","FW",24,2.7,0,0,0,1,5,5,0,1,0,0,0,0,13,6,6,50
"Argentina","Leandro Paredes","MF",27,2.5,2,0,0,6,5,0,0,3,4,1,0,0,19,4,0,100
"Argentina","Papu Gomez","MF,FW",34,1.2,0,0,0,1,5,1,1,1,0,0,0,0,6,1,0,100
"Argentina","Gonzalo Montiel","DF,MF",25,1.3,3,0,0,4,2,1,3,1,2,0,1,0,3,1,2,33.3
"Argentina","Guido Rodriguez","MF",28,0.6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100
"Argentina","German Pezzella","DF",30,0.7,1,0,0,2,2,0,0,0,0,0,0,0,1,0,6,0
"Argentina","Exequiel Palacios","MF,DF",23,0.6,0,0,0,2,3,0,0,2,0,0,0,0,6,0,1,0
"Argentina","Paulo Dybala","FW",28,0.2,0,0,0,1,0,0,0,0,1,0,0,0,1,3,1,75
"Argentina","Thiago Almada","MF",21,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Argentina","Angel Correa","MF",27,0.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
"Argentina","Juan Foyth","DF",24,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
